trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm
12,0.010741815902292728,27,0.010741815902292728,0.00428956700488925,-0.0035668201744556427,0.0,3,4,576,25,0.058194001647979665,0.002942307549626101,2.05021666935234e-06,swish,64,True
82,0.010825574398040771,29,0.010825574398040771,0.0036261440254747868,-0.0027834009379148483,0.05390189854464874,4,2,768,25,0.191134197769971,0.0005734079172996442,0.0004965950419396562,elu,32,True
168,0.010913782753050327,25,0.010913782753050327,0.005116872023791075,0.000820391345769167,0.017967299514882913,4,3,640,25,0.17247689199149807,0.0006160806787706065,0.0005222734923702137,relu,32,True
41,0.010914720594882965,39,0.010914720594882965,0.003811492118984461,-0.003921989351511002,0.005989099838294304,4,3,512,25,0.11154015971303144,0.0015720216739020744,3.6049725978197824e-06,swish,64,True
56,0.010998276993632317,40,0.010998276993632317,0.003507269313558936,-0.004012390971183777,0.0,4,3,448,25,0.11881174382977103,0.0014270521618920606,0.00470610451554706,swish,64,True
20,0.011087961494922638,35,0.011087961494922638,0.00522785447537899,-0.003913804888725281,0.0,3,4,832,25,0.16892829440477597,0.002136720704070432,0.00033363546654639395,swish,64,True
139,0.011130413971841335,30,0.011130413971841335,0.006522323004901409,0.0012906587217003107,0.011978199676588608,4,3,768,25,0.20093001765815038,0.0008088845641681573,7.632741684013926e-06,swish,32,True
16,0.011373070999979973,31,0.011373070999979973,0.005030463449656963,-0.0019043197389692068,0.011978199676588608,4,3,768,25,0.11670390707033833,0.0009956728747116787,0.003362879119509789,swish,64,True
112,0.011429116129875183,17,0.011429116129875183,0.00546865351498127,-0.0012862421572208405,0.011978199676588608,4,3,640,25,0.13316132751232063,0.0004054002699832035,0.003984633476523402,relu,32,True
11,0.011534549295902252,34,0.011534549295902252,0.006353566888719797,-0.0019957232289016247,0.0,3,4,512,25,0.0551084541749989,0.0026237120290843728,2.177309943480421e-06,swish,64,True
44,0.011625767685472965,38,0.011625767685472965,0.006031722296029329,0.0011483515845611691,0.005989099838294304,3,3,448,25,0.185775749568822,0.0003268007179398628,1.2483810633825764e-05,elu,64,True
91,0.011795911006629467,25,0.011795911006629467,0.0051280600018799305,-0.002598479622974992,0.017967299514882913,4,2,768,25,0.16054871713795082,0.0006955569293288605,0.000727090465618954,elu,32,True
125,0.012112586759030819,29,0.012112586759030819,0.0047891098074615,0.004454609006643295,0.005989099838294304,4,3,640,25,0.19003058793007746,0.00039245248518199864,0.0016981789373191024,elu,32,True
67,0.012347722426056862,25,0.012347722426056862,0.005826722364872694,-0.003674668027088046,0.029945499191471523,4,3,576,21,0.1685712464774642,0.002583948782599155,0.0016070105910507705,elu,32,True
75,0.012386043556034565,37,0.012386043556034565,0.006618956103920937,-0.00014196311531122774,0.035934599029765826,4,3,704,15,0.20496871697100894,0.0008035354647192062,0.0033564831609160803,elu,32,True
54,0.012411846779286861,35,0.012411846779286861,0.0072691598907113075,0.003026203252375126,0.0,3,4,704,25,0.3493709873006536,0.0029404402033993064,0.0029179791902258522,swish,64,True
23,0.012687256559729576,36,0.012687256559729576,0.006995947100222111,-9.268132998840883e-06,0.005989099838294304,3,3,704,25,0.1650789374893663,0.0009359853994978669,0.0006471544246134524,swish,64,True
49,0.012746560387313366,32,0.012746560387313366,0.006277967244386673,-0.003111341968178749,0.005989099838294304,4,4,128,25,0.15129594081948444,0.0016716378801197593,6.9001097691863485e-06,elu,64,True
29,0.012946748174726963,36,0.012946748174726963,0.004629067145287991,0.004738394636660814,0.0,4,3,320,21,0.07638711376757534,0.0004066692824617861,2.6335931332235017e-05,elu,64,True
162,0.013131584972143173,26,0.013131584972143173,0.0058898841962218285,0.0035786880180239677,0.011978199676588608,4,3,832,25,0.19717877907378112,0.0006540100364114118,0.00026526937118589056,relu,32,True
72,0.013161267153918743,27,0.013161267153918743,0.005588804371654987,0.003315926296636462,0.011978199676588608,4,3,448,25,0.21109033365462787,0.002240650985180277,0.00010372680918235005,elu,32,True
13,0.0131888622418046,33,0.0131888622418046,0.00691651226952672,0.003942916635423899,0.0,3,4,640,25,0.12441893947217302,0.002989264854218558,8.997648801294874e-06,swish,64,True
69,0.013233810663223267,30,0.013233810663223267,0.006480113137513399,0.004052081611007452,0.011978199676588608,4,3,576,25,0.19691570211875092,0.0008581502905191166,0.0002777412850446548,elu,32,True
117,0.013257368467748165,32,0.013257368467748165,0.008256902918219566,0.0030156688299030066,0.005989099838294304,4,3,512,25,0.1642591024897486,0.0005951362573800147,3.2536829435391677e-06,swish,32,True
32,0.013309536501765251,38,0.013309536501765251,0.008689767681062222,-0.000948188069742173,0.005989099838294304,4,3,704,25,0.18877560482028238,0.00046879798420751,1.131395923911726e-05,swish,64,True
155,0.013512294739484787,18,0.013512294739484787,0.004712165333330631,0.005409826058894396,0.011978199676588608,4,3,576,25,0.1933128674624357,0.0007141472123604864,0.0014974361075063176,elu,32,True
145,0.013521775603294373,19,0.013521775603294373,0.006148777902126312,-0.004583983216434717,0.005989099838294304,4,3,640,25,0.10829955276736777,0.0005071763997577068,1.489505934558321e-05,elu,32,True
115,0.013827908784151077,31,0.013827908784151077,0.004741504788398743,0.0058595770969986916,0.011978199676588608,4,3,640,25,0.17723136764263994,0.0009805754818536263,0.00018835145543496674,elu,32,True
71,0.013843764550983906,23,0.013843764550983906,0.006848696153610945,0.0014809217536821961,0.017967299514882913,4,3,512,25,0.188218982054031,0.0007317456029571697,3.196524086763381e-05,elu,32,True
74,0.013932854868471622,32,0.013932854868471622,0.00890575721859932,0.0009033498936332762,0.011978199676588608,4,3,640,25,0.1594233132336967,0.0005541676909256822,1.6309192057461114e-05,elu,32,True
167,0.014054084196686745,30,0.014054084196686745,0.007103944197297096,-8.335932216141373e-05,0.005989099838294304,4,3,576,25,0.1878724233498142,0.0005551909421267774,0.0007914746687297356,relu,32,True
127,0.014092294499278069,33,0.014092294499278069,0.0065077487379312515,0.005064754281193018,0.0,4,3,1024,25,0.16741042832059463,0.0004370747737083821,0.0029624449320872484,elu,32,True
19,0.014340927824378014,20,0.014340927824378014,0.006308949552476406,-0.004251650534570217,0.0,4,3,640,25,0.09653610767855536,0.0004019242178388228,2.4351054563693412e-05,swish,32,True
